Reference,Product,Country,Study % of Country,Overlap Study %,"GHG Emis 
(kg CO2 eq)",Seed,Fertilizer and pesticide production and transport to farm,Machinery production and transport to farm; greenhouse and trellis infrastructure,Electricity and fuel use,Synthetic fertilizer (N2O direct),Synthetic fertilizer (N2O indirect),Organic fertilizer (N2O direct and indirect); excretion on pasture included under manure management,Crop residue (N2O direct and indirect),Cultivated organic soils (N2O),Urea hydrolysis (CO2),Lime application (CO2),Flooded rice (CH4),Residue burning (CH4 and N2O),"Fuel use for drying, grading and storage",Feed processing and transport,Animal housing and other farm inputs,Enteric fermentation(CH4),Manure management and aquaculture ponds (CH4),Manure management and aquaculture ponds (N2O direct),Manure management and aquaculture ponds (N2O indirect),LUC Burn,Acid Pot (kg SO2 eq),Eutr Pot (kg PO43- eq),Freshwtr. Withdr. (L),Wtr Sc. (L eq)
Wheat/Rye (Bread),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Narayanaswamy et al. (2004),Wheat bread,Australia,0.305310238,0.111111111,3.672075114,0.542779854,,,,,,,,,,0,0,0.051171276,0,0,0,0,0,0,0,0,0.015350849,0.01394401,9.223694322,124.3288051
Moudr_ Jr et al. (2013b),Wheat bread,Czech Republic,0.961089698,1,1.380849895,0.017647433,0.171975966,NC,0.025744491,0.17079947,,,,,0,0,0,0.013259339,0.000207617,0,0,0,0,0,0,0,-,-,2.19443191,3.71271546
Moudr_ Jr et al. (2013b),Wheat bread,Czech Republic,0.009904137,1,1.507050536,0.027059397,0,NC,0.089136839,0,0,0.203602934,,0,0,0,0,0.020330986,0.000207617,0,0,0,0,0,0,0,-,-,2.19443191,3.71271546
Kulak et al. (2015),Wheat bread,France,0.519857809,0.2,1.469181015,0.488684597,,,,,,,,0,0,0,0,0.181298683,Incl,0,0,0,0,0,0,0.000350779,-,0.018154434,9.226199927,24.80961558
Kulak et al. (2015),Wheat and rye bread,France,0.519857809,0.2,4.464250003,1.653790962,,,,,,,,0,0,0,0,0.979286396,Incl,0,Incl,Incl,Incl,Incl,Incl,0.001644509,-,0.035375945,11.53134583,84.80892217
Kulak et al. (2015),Wheat bread,France,0.125520378,0.125,1.170239489,0.423815013,,,,,,0,Incl,Incl,0,0,0,0.048149269,Incl,0,0,0,0,0,0,9.31599E-05,-,0.002933065,65.36034361,262.646959
Braschkat et al. (2003),Wheat bread,Germany,0.554841619,0.2,0.650284422,0.2657894,,,,,,,,,,,,,,0,0,0,0,0,0,0,0.005268932,0.00062386,2.19443191,2.725089435
Braschkat et al. (2003),Wheat bread,Germany,0.009308477,0.5,0.417098309,0.0578947,,,,,,,,,,,,,,0,0,0,0,0,0,0,0.003407876,0.000289982,2.19443191,2.725089435
Bystricky et al. (2014),Wheat bread,Germany,0.554841619,0.2,0.704733411,0.3604862,,,,,,,,,,,,,,0,0,0,0,0,0,0,0.007283512,0.009427029,16.42546051,26.47849936
Kulak et al. (2015),Wheat bread,Italy,0.3830108,1,1.884047607,0.555627436,,,,,,,,0,0,0,0,0.073386604,Incl,0,0,0,0,0,0,0,-,0.026362922,6.540881645,142.1741671
Korsaeth et al. (2012),Wheat and rye bread,Norway,0.0801,0.5,1.828276306,0.6756438,,,,,,,,,,0,0,0.648796333,Incl,0,0,0,0,0,0,0,0.0064148,0.005526996,2.19443191,1.39502231
Kulak et al. (2015),Wheat and rye bread,Portugal,0.00641664,1,2.13434198,0.21984287,,,,,,,,0,0,0,0,0.143597277,Incl,0,0,0,0,0,0,0,-,0.008593799,3.947620061,76.61170995
Kulak et al. (2015),Wheat bread,Portugal,0.00516672,1,1.496825734,0.476121355,,,,,,,,0,Incl,0,0,0.033387503,Incl,0,0,0,0,0,0,0,-,0.002567718,1.1407023,14.25633303
Kulak et al. (2015),Wheat bread,Spain,0.4654,0.5,1.652641376,0.657305521,,,,,,0,Incl,0,0,0,0,0.007620582,Incl,0,0,0,0,0,0,0,-,0.017670555,5.038295926,304.3568685
Bystricky et al. (2014),Wheat bread,Switzerland,0.772116548,0.5,0.744543339,0.3892272,,,,,,,,,,,,,,0,0,0,0,0,0,0,0.007616591,0.010184189,8.192711027,14.54099702
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat/Rye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAO (2014),Wheat,Albania,0.1475,1,1.055991362,0.009033676,0.032211323,0.138164858,,0.012393644,0.004027934,0.019656529,0.046587034,0.000790145,0,0,0.018268991,0.06751384,0.112768554,0,0,0,0,0,0,0,0.00807341,-,1037.404764,26028.9218
