"Food_Category","Weight","impact_1","impact_2","impact_3","impact_4","impact_5","impact_6"
"Almond milk",0.997,0.0370761724826082,0.179146509378652,0.149997162747846,7505.55185929261,0.0297564510286638,0.129812397249278
"Animal Fats",1.002,1.65642115768463,1.28402195608782,8.21530239520958,6204.42704291417,0.212533327487641,0.15885390241517
"Apples",0.998,0.0656703406813627,0.0436182364729459,0.112323647294589,228.626823647295,0.00202049985480962,0.00212860203362057
"Bananas",1.001,0.262898101898102,0.0821328671328672,0.336166833166833,14.3753156843157,0.000304687269230769,0.00339905195775891
"Barley (Beer)",1.004,0.0697490039840638,0.107872509960159,0.214395418326693,156.038962151394,0.00120133119010624,0.00200148151408367
"Beet Sugar",0.992,0.144809475806452,0.183753024193548,0.48928125,1191.69544858871,0.00460680060223858,0.0217935221248737
"Berries & Grapes",0.993,0.409935548841893,0.17391641490433,0.331404833836858,1465.7470020141,3.53617678247734e-05,0.00333725060679758
"Bovine Meat (beef herd)",0.989,51.6874994944388,15.2585834175935,29.188353892821,4075.8236966633,3.44979449593178,0.942285441152309
"Bovine Meat (dairy herd)",0.973,9.93117780061665,4.80849023638232,71.3293741007194,9130.26071839671,2.01801515918176,0.865207235674169
"Brassicas",0.994,0.101782696177062,0.0873943661971831,0.409822937625754,2023.35725955734,0.00124995063134675,0.0211485563129618
"Butter, Cream & Ghee",0.996,0.38738453815261,0.377560240963855,1.16164759036145,631.625403614458,0.110150597248611,0.0135178367019411
"Cane Sugar",1.005,0.208819900497512,0.183979104477612,1.73969751243781,1095.61768756219,0.00410115416975124,0.0152151492681592
"Cassava",1,0.0935,0.0315,0.066,0,0.00072990315,0.00160438023333333
"Cereals & Oilcrops Misc.",1.006,0.34970577430754,0.119442307975385,0.559529517199902,743.186057277058,0.00599823248538329,0.0164567890555379
"Cheese",0.999,3.67664864864865,3.1072002002002,10.6037127127127,5819.4364034034,0.890005444560827,0.114674989570387
"Citrus Fruit",0.997,0.0660200601805416,0.0447552657973922,0.157786359077232,771.720504513541,0.0005374035440555,0.00676699470321525
"Coffee",0.996,1.92159638554217,3.04386646586345,11.5065863453815,43.1865542168675,0.317572397904384,0.337185681675619
"Crustaceans",1.011,0.188466864490603,2.10391295746785,21.4746607319486,12073.6358565776,0.168484786450824,0.108380848704402
"Dark Chocolate",1.002,6.71049401197605,4.20008882235529,7.43749500998004,74.9644251497006,0.802990980471377,0.940634330479281
"Dark Chocolate (70% cocoa)",1.002,4.75689949720746,3.04315117201086,5.66566641539609,90.5341077239372,0.581802682440727,0.681531411906302
